MATCHUP                                  ,GAME_ID    ,SEASON  ,GAME_DATE  ,HOME_TEAM_NICKNAME ,HOME_TEAM_ID ,AWAY_TEAM_NICKNAME ,AWAY_TEAM_ID
05/12/2021 Trail Blazers at Jazz         ,0022001045 ,2020-21 ,2021-05-12 ,Jazz               ,  1610612762 ,Trail Blazers      ,  1610612757
05/08/2021 Spurs at Trail Blazers        ,0022001018 ,2020-21 ,2021-05-08 ,Trail Blazers      ,  1610612757 ,Spurs              ,  1610612759
04/28/2021 Trail Blazers at Grizzlies    ,0022000939 ,2020-21 ,2021-04-28 ,Grizzlies          ,  1610612763 ,Trail Blazers      ,  1610612757
04/25/2021 Grizzlies at Trail Blazers    ,0022000240 ,2020-21 ,2021-04-25 ,Trail Blazers      ,  1610612757 ,Grizzlies          ,  1610612763
04/23/2021 Grizzlies at Trail Blazers    ,0022000225 ,2020-21 ,2021-04-23 ,Trail Blazers      ,  1610612757 ,Grizzlies          ,  1610612763
04/18/2021 Trail Blazers at Hornets      ,0022000362 ,2020-21 ,2021-04-18 ,Hornets            ,  1610612766 ,Trail Blazers      ,  1610612757
04/16/2021 Trail Blazers at Spurs        ,0022000853 ,2020-21 ,2021-04-16 ,Spurs              ,  1610612759 ,Trail Blazers      ,  1610612757
04/10/2021 Pistons at Trail Blazers      ,0022000804 ,2020-21 ,2021-04-10 ,Trail Blazers      ,  1610612757 ,Pistons            ,  1610612765
04/08/2021 Trail Blazers at Jazz         ,0022000787 ,2020-21 ,2021-04-08 ,Jazz               ,  1610612762 ,Trail Blazers      ,  1610612757
04/03/2021 Thunder at Trail Blazers      ,0022000753 ,2020-21 ,2021-04-03 ,Trail Blazers      ,  1610612757 ,Thunder            ,  1610612760
03/31/2021 Trail Blazers at Pistons      ,0022000721 ,2020-21 ,2021-03-31 ,Pistons            ,  1610612765 ,Trail Blazers      ,  1610612757
03/28/2021 Trail Blazers at Raptors      ,0022000704 ,2020-21 ,2021-03-28 ,Raptors            ,  1610612761 ,Trail Blazers      ,  1610612757
03/04/2021 Kings at Trail Blazers        ,0022000558 ,2020-21 ,2021-03-04 ,Trail Blazers      ,  1610612757 ,Kings              ,  1610612758
03/01/2021 Hornets at Trail Blazers      ,0022000535 ,2020-21 ,2021-03-01 ,Trail Blazers      ,  1610612757 ,Hornets            ,  1610612766
02/20/2021 Wizards at Trail Blazers      ,0022000464 ,2020-21 ,2021-02-20 ,Trail Blazers      ,  1610612757 ,Wizards            ,  1610612764
02/16/2021 Trail Blazers at Thunder      ,0022000432 ,2020-21 ,2021-02-16 ,Thunder            ,  1610612760 ,Trail Blazers      ,  1610612757
02/02/2021 Trail Blazers at Wizards      ,0022000559 ,2020-21 ,2021-02-02 ,Wizards            ,  1610612764 ,Trail Blazers      ,  1610612757
01/25/2021 Thunder at Trail Blazers      ,0022000267 ,2020-21 ,2021-01-25 ,Trail Blazers      ,  1610612757 ,Thunder            ,  1610612760
01/18/2021 Spurs at Trail Blazers        ,0022000207 ,2020-21 ,2021-01-18 ,Trail Blazers      ,  1610612757 ,Spurs              ,  1610612759
01/13/2021 Trail Blazers at Kings        ,0022000173 ,2020-21 ,2021-01-13 ,Kings              ,  1610612758 ,Trail Blazers      ,  1610612757
01/11/2021 Raptors at Trail Blazers      ,0022000155 ,2020-21 ,2021-01-11 ,Trail Blazers      ,  1610612757 ,Raptors            ,  1610612761
01/09/2021 Trail Blazers at Kings        ,0022000140 ,2020-21 ,2021-01-09 ,Kings              ,  1610612758 ,Trail Blazers      ,  1610612757
12/23/2020 Jazz at Trail Blazers         ,0022000020 ,2020-21 ,2020-12-23 ,Trail Blazers      ,  1610612757 ,Jazz               ,  1610612762
05/16/2021 Jazz at Kings                 ,0022001077 ,2020-21 ,2021-05-16 ,Kings              ,  1610612758 ,Jazz               ,  1610612762
05/14/2021 Kings at Grizzlies            ,0022000263 ,2020-21 ,2021-05-14 ,Grizzlies          ,  1610612763 ,Kings              ,  1610612758
05/13/2021 Kings at Grizzlies            ,0022000255 ,2020-21 ,2021-05-13 ,Grizzlies          ,  1610612763 ,Kings              ,  1610612758
05/11/2021 Thunder at Kings              ,0022001040 ,2020-21 ,2021-05-11 ,Kings              ,  1610612758 ,Thunder            ,  1610612760
05/09/2021 Thunder at Kings              ,0022001025 ,2020-21 ,2021-05-09 ,Kings              ,  1610612758 ,Thunder            ,  1610612760
05/07/2021 Spurs at Kings                ,0022001011 ,2020-21 ,2021-05-07 ,Kings              ,  1610612758 ,Spurs              ,  1610612759
05/04/2021 Kings at Thunder              ,0022000988 ,2020-21 ,2021-05-04 ,Thunder            ,  1610612760 ,Kings              ,  1610612758
04/28/2021 Jazz at Kings                 ,0022000942 ,2020-21 ,2021-04-28 ,Kings              ,  1610612758 ,Jazz               ,  1610612762
04/14/2021 Wizards at Kings              ,0022000839 ,2020-21 ,2021-04-14 ,Kings              ,  1610612758 ,Wizards            ,  1610612764
04/10/2021 Kings at Jazz                 ,0022000801 ,2020-21 ,2021-04-10 ,Jazz               ,  1610612762 ,Kings              ,  1610612758
04/08/2021 Pistons at Kings              ,0022000789 ,2020-21 ,2021-04-08 ,Kings              ,  1610612758 ,Pistons            ,  1610612765
03/31/2021 Kings at Spurs                ,0022000728 ,2020-21 ,2021-03-31 ,Spurs              ,  1610612759 ,Kings              ,  1610612758
03/29/2021 Kings at Spurs                ,0022000714 ,2020-21 ,2021-03-29 ,Spurs              ,  1610612759 ,Kings              ,  1610612758
03/17/2021 Kings at Wizards              ,0022000619 ,2020-21 ,2021-03-17 ,Wizards            ,  1610612764 ,Kings              ,  1610612758
03/15/2021 Kings at Hornets              ,0022000602 ,2020-21 ,2021-03-15 ,Hornets            ,  1610612766 ,Kings              ,  1610612758
02/28/2021 Hornets at Kings              ,0022000528 ,2020-21 ,2021-02-28 ,Kings              ,  1610612758 ,Hornets            ,  1610612766
02/26/2021 Kings at Pistons              ,0022000504 ,2020-21 ,2021-02-26 ,Pistons            ,  1610612765 ,Kings              ,  1610612758
02/14/2021 Grizzlies at Kings            ,0022000418 ,2020-21 ,2021-02-14 ,Kings              ,  1610612758 ,Grizzlies          ,  1610612763
