HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,HOME_TEAM_ID,GAME_ID,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_TEAM_ID
0.5079365079365079,1.0,3.0,0.5,0.6666666666666666,4.666666666666667,0.57085346215781,0,1610612759,22000060,2020-21,0.5258620689655172,0.5,2.0,,0.5,17.0,0.6050739074372299,1610612747
0.4958677685950413,0.5,1.0,0.0,0.3333333333333333,-13.333333333333334,0.5377442627996952,1,1610612748,22000058,2020-21,0.6335877862595419,1.0,1.0,0.3333333333333333,0.5,22.0,0.6078543745194169,1610612749
0.5227272727272727,0.5,2.0,0.5,0.5,7.0,0.5368021808699774,1,1610612751,22000057,2020-21,0.5982905982905983,1.0,2.0,1.0,1.0,12.666666666666666,0.5654678425576258,1610612737
0.5630252100840336,0.0,3.0,1.0,0.6666666666666666,5.333333333333333,0.5345215636634957,0,1610612762,22000068,2020-21,0.5648148148148148,1.0,2.0,0.5,0.75,12.666666666666666,0.5724093060302112,1610612756
0.5081967213114754,0.0,2.0,0.0,0.0,-8.333333333333334,0.5580672280302106,0,1610612764,22000063,2020-21,0.5245901639344263,0.0,2.0,1.0,0.25,-4.0,0.5139394634178539,1610612741
0.5384615384615384,0.0,2.0,1.0,0.3333333333333333,-3.333333333333333,0.5323397141578959,0,1610612760,22000067,2020-21,0.5188679245283019,1.0,2.0,0.3333333333333333,0.5,-11.666666666666666,0.4934687953555878,1610612740
0.6198347107438017,1.0,2.0,1.0,1.0,9.333333333333334,0.5856733220305003,0,1610612753,22000064,2020-21,0.4568965517241379,1.0,2.0,0.5,0.75,1.0,0.5029636179061466,1610612755
0.5737704918032787,0.6666666666666666,2.0,1.0,0.75,5.0,0.5956633693359898,1,1610612754,22000062,2020-21,0.4954128440366973,0.6666666666666666,2.0,1.0,0.75,8.0,0.5558200293770619,1610612739
0.4380165289256198,0.0,2.0,0.0,0.0,-8.666666666666666,0.5062519815162522,1,1610612761,22000066,2020-21,0.4956521739130435,0.5,2.0,0.5,0.5,3.0,0.5298999309868875,1610612752
0.5245901639344263,,3.0,0.0,0.0,-7.5,0.5622950819672131,1,1610612745,22000065,2020-21,0.626984126984127,0.6666666666666666,2.0,1.0,0.75,-1.0,0.5637347701567884,1610612758
